customerNumber;customerName;contactLastName;contactFirstName;phone;addressLine1;addressLine2;city;state;postalCode;country;salesRepEmployeeNumber;creditLimit
250;Lyon Souveniers;Da Silva;Daniel;+33 1 46 62 7555;27 rue du Colonel Pierre Avia;;Paris;;75508;France;1337;68100.0
256;Auto Associés & Cie.;Tonini;Daniel ;30.59.8555;67, avenue de l'Europe;;Versailles;;78000;France;1370;77900.0
286;Marta's Replicas Co.;Hernandez;Marta;6175558555;39323 Spinnaker Dr.;;Cambridge;MA;51247;USA;1216;123700.0
319;Mini Classics;Frick;Steve;9145554562;3758 North Pendale Street;;White Plains;NY;24067;USA;1323;102700.0
320;Mini Creations Ltd.;Huang;Wing;5085559555;4575 Hillside Dr.;;New Bedford;MA;50553;USA;1188;94500.0
321;Corporate Gift Ideas Co.;Brown;Julie;6505551386;7734 Strong St.;;San Francisco;CA;94217;USA;1165;105000.0
328;Tekni Collectables Inc.;Brown;William;2015559350;7476 Moss Rd.;;Newark;NJ;94019;USA;1323;43000.0
339;Classic Gift Ideas, Inc;Cervantes;Francisca;2155554695;782 First Street;;Philadelphia;PA;71270;USA;1188;81100.0
347;Men 'R' US Retailers, Ltd.;Chandler;Brian;2155554369;6047 Douglas Av.;;Los Angeles;CA;91003;USA;1166;57700.0
350;Marseille Mini Autos;Lebihan;Laurence ;91.24.4555;12, rue des Bouchers;;Marseille;;13008;France;1337;65000.0
353;Reims Collectables;Henriot;Paul ;26.47.1555;59 rue de l'Abbaye;;Reims;;51100;France;1337;81100.0
362;Gifts4AllAges.com;Yoshido;Juri;6175559555;8616 Spinnaker Dr.;;Boston;MA;51003;USA;1216;41900.0
363;Online Diecast Creations Co.;Young;Dorothy;6035558647;2304 Long Airport Avenue;;Nashua;NH;62005;USA;1216;114200.0
379;Collectables For Less Inc.;Nelson;Allen;6175558555;7825 Douglas Av.;;Brickhaven;MA;58339;USA;1188;70700.0
406;Auto Canal+ Petit;Perrier;Dominique;(1) 47.55.6555;25, rue Lauriston;;Paris;;75016;France;1337;95000.0
424;Classic Legends Inc.;Hernandez;Maria;2125558493;5905 Pompton St.;Suite 750;NYC;NY;10022;USA;1286;67500.0
447;Gift Ideas Corp.;Lewis;Dan;2035554407;2440 Pompton St.;;Glendale;CT;97561;USA;1323;49700.0
450;The Sharp Gifts Warehouse;Frick;Sue;4085553659;3086 Ingle Ln.;;San Jose;CA;94217;USA;1165;77600.0
455;Super Scale Inc.;Murphy;Leslie;2035559545;567 North Pendale Street;;New Haven;CT;97823;USA;1286;95400.0
456;Microscale Inc.;Choi;Yu;2125551957;5290 North Pendale Street;Suite 200;NYC;NY;10022;USA;1286;39800.0
462;FunGiftIdeas.com;Benitez;Violeta;5085552555;1785 First Street;;New Bedford;MA;50553;USA;1216;85800.0
475;West Coast Collectables Co.;Thompson;Steve;3105553722;3675 Furth Circle;;Burbank;CA;94019;USA;1166;55400.0
486;Motor Mint Distributors Inc.;Salazar;Rosa;2155559857;11328 Douglas Av.;;Philadelphia;PA;71270;USA;1323;72600.0
487;Signal Collectibles Ltd.;Taylor;Sue;4155554312;2793 Furth Circle;;Brisbane;CA;94217;USA;1165;60300.0
495;Diecast Collectables;Franco;Valarie;6175552555;6251 Ingle Ln.;;Boston;MA;51003;USA;1188;85100.0
